MFI ID,MFI Name,MFI Full Name,Country,Region,Last known legal status,Last known profit status
101917,Microloan Foundation Malawi,,Malawi,Africa,NGO,Non-profit
115151,MicroLoan Foundation Zambia,Microloan Foundation Zambia,Zambia,Africa,NGO,Non-profit
170113,MICROSEN,,Senegal,Africa,NBFI,Profit
101588,Microserfin,Soluciones de Microfinanzas S.A.,Panama,Latin America and The Caribbean,NBFI,Profit
104316,Microsol,Fundación Microsol,Paraguay,Latin America and The Caribbean,NGO,Non-profit
100138,MIDAS,Micro Industries Development Assistance and Services,Bangladesh,South Asia,NBFI,Profit
100508,MIDE,Microcrédito para el Desarrollo,Peru,Latin America and The Caribbean,NGO,Non-profit
170665,Midland,Midland Microfin Ltd,India,South Asia,NBFI,Profit
100814,Midland S&L,Midland Savings and Loans,Ghana,Africa,NBFI,Profit
100689,MIFED,Microfinance et Développement,Cameroon,Africa,Credit Union / Cooperative,Non-profit
102673,MIGEC SA,MIGEC SA,Cameroon,Africa,NBFI,Unknown
101923,MIGUI,MIGUI,Guinea,Africa,Credit Union / Cooperative,Non-profit
100515,MIKRA,MIKRA,Bosnia and Herzegovina,Eastern Europe and Central Asia,NBFI,Non-profit
100551,Mikro ALDI,Mikro ALDI,Bosnia and Herzegovina,Eastern Europe and Central Asia,NBFI,Non-profit
100489,MIKROFIN,MIKROFIN Banja Luka,Bosnia and Herzegovina,Eastern Europe and Central Asia,NBFI,Profit
100263,Mikrofond,Mikrofond,Bulgaria,Eastern Europe and Central Asia,NBFI,Profit
100854,Mikrohitel Rt.,Mikrohitel Rt.,Hungary,Eastern Europe and Central Asia,NBFI,Profit
101445,Mikrokredit Bank,Mikrokredit Bank of Uzbekistan,Uzbekistan,Eastern Europe and Central Asia,Bank,Profit
149279,Mikrozaym,MFO Mikrozaym,Russia,Eastern Europe and Central Asia,NBFI,Profit
102336,MIL,Mayiana Investments Ltd,Kenya,Africa,NBFI,Unknown
100546,Milamdec,Milamdec Foundation  Inc.,Philippines,East Asia and the Pacific,NGO,Non-profit
127857,Milango Kenya,Milango Financial Services Ltd.,Kenya,Africa,NBFI,Profit
116218,Millenium  Microfinance,MILLENIUM MICROFINANCE,Togo,Africa,Credit Union / Cooperative,Non-profit
101642,Mimo Finance,Mimoza Enterprises Finance Pvt. Ltd.,India,South Asia,NBFI,Profit
100671,Miselini,Miselini,Mali,Africa,NGO,Non-profit
169687,Mitooma Peuples SACCO,,Uganda,Africa,Credit Union / Cooperative,Unknown
100270,Mitra Usaha Kecil (MUK),Mitra Usaha Kecil (MUK),Indonesia,East Asia and the Pacific,NGO,Non-profit
130409,MIVE FINANCE,MIVE FINANCE,Benin,Africa,Credit Union / Cooperative,Non-profit
104295,Miziya,Rural Credit Cooperative 'Miziya',Bulgaria,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
143093,MLC Jiangnan,Micro-Loan Corporation of Jiangnan,"China, People's Republic of",East Asia and the Pacific,NBFI,Profit
100619,MLF Baror,Micro Loan Fund Baror,Tajikistan,Eastern Europe and Central Asia,NBFI,Profit
101634,MLF Kiropol,Microloan Fund Kiropol,Tajikistan,Eastern Europe and Central Asia,NBFI,Non-profit
102697,MLF Nasrin,Microloan Fund Nasrin,Tajikistan,Eastern Europe and Central Asia,NBFI,Profit
104320,MLO 'Saodat Invest',Microloan Organization 'Saodat Invest',Tajikistan,Eastern Europe and Central Asia,NBFI,Profit
102481,MMCB,Marampa Masimera Community Bank Limited,Sierra Leone,Africa,Rural Bank,Profit
102311,MMP,MMP,Ghana,Africa,NGO,Unknown
100602,MMPC,Mediatrix Multi-Purpose Cooperative,Philippines,East Asia and the Pacific,Credit Union / Cooperative,Non-profit
174919,MNCU,Multi-National Credit Union,Liberia,Africa,Credit Union / Cooperative,Non-profit
176656,MNK,MOHANOKOR MICROFINANCE PLC,Cambodia,East Asia and the Pacific,NBFI,Profit
163989,Mobilink,Mobilink Microfinance Bank Limited,Pakistan,South Asia,Bank,Profit
128966,MODEC,Mutuelle de l'Oueme pour le Développement de l'Epargne et du Crédit,Benin,Africa,Credit Union / Cooperative,Non-profit
100073,MoFAD,Micro Finance Agency for Development (CARE),Afghanistan,South Asia,NBFI,Non-profit
157897,Mojaz,Mojaz Foundation,Pakistan,South Asia,NGO,Non-profit
102061,Mol Bulak Azerbaijan,Mol Bulak NBCO LLC,Azerbaijan,Eastern Europe and Central Asia,NBFI,Profit
102015,Mol Bulak Finance,MCC Mol-Bulak,Kyrgyzstan,Eastern Europe and Central Asia,NBFI,Profit
102284,Moldir,MCO Moldir,Kazakhstan,Eastern Europe and Central Asia,NBFI,Profit
102406,MOM,Tien Giang Capital Aid Fund for Women's Economic Development Fund (MOM),Vietnam,East Asia and the Pacific,Other,Unknown
104296,Momina Voda,Rural Credit Cooperative 'Momina Voda',Bulgaria,Eastern Europe and Central Asia,Credit Union / Cooperative,Non-profit
115228,Monte Credit,MFI MonteCredit DOO Podgorica (former Agroinvest Montenegro),Montenegro,Eastern Europe and Central Asia,NBFI,Profit
